,word,count,cumsum,cumsum_percent
0,della,459937944,459937944,1.704204971925115
1,delle,191462302,651400246,2.413628952401551
2,come,176157836,827558082,3.066345397893965
3,alla,170107574,997665656,3.696643848271261
4,anche,124597710,1122263366,4.158314905513896
5,nella,122764076,1245027442,4.613191811023115
6,sono,121821450,1366848892,5.064576010751431
7,questo,83515766,1450364658,5.3740264170682766
8,degli,81043242,1531407900,5.674315396829707
9,essere,77902206,1609310106,5.9629659170162626
10,dalla,74622002,1683932108,6.239462319373111
11,loro,67947162,1751879270,6.49122648195023
12,parte,64656126,1816535396,6.73079639096086
13,alle,58515226,1875050622,6.947612464484296
14,questa,55151610,1930202232,7.1519653542551715
15,quale,52996648,1983198880,7.348333477814389
16,solo,52780722,2035979602,7.543901532217393
17,quella,52060460,2088040062,7.736800804673829
18,quanto,47668428,2135708490,7.913426310486531
19,sulla,46679346,2182387836,8.086386977413834
20,prima,46127692,2228515528,8.257303604483486
21,stato,45882920,2274398448,8.427313279507041
22,nelle,44800728,2319199176,8.593313115788138
23,quello,43714234,2362913410,8.755287173155098
24,ogni,41594208,2404507618,8.909405912436345
25,sempre,41438408,2445946026,9.062947367024968
26,anni,41345162,2487291188,9.216143317836648
27,perché,39642410,2526933598,9.363030073109647
28,tutti,39506532,2566440130,9.509413360542698
29,stesso,39328662,2605768792,9.655137587460498
30,senza,39205696,2644974488,9.800406189285148
31,altri,38871952,2683846440,9.944438171710226
32,fatto,38762918,2722609358,10.088066151188096
33,tutto,38011456,2760620814,10.228909743569144
34,tempo,37664904,2798285718,10.36846925915432
35,aveva,37272984,2835558702,10.506576596198219
36,così,37179458,2872738160,10.644337391983052
37,hanno,36887928,2909626088,10.781017983618728
38,modo,36612724,2946238812,10.916678863723288
39,ancora,36529968,2982768780,11.052033108577383
40,vita,36421116,3019189896,11.186984024847648
41,quando,35624040,3054813936,11.318981540773533
42,dello,35138124,3089952060,11.449178595411237
43,secondo,34876604,3124828664,11.578406641751036
44,dopo,33945462,3158774126,11.704184533897926
45,quali,33611152,3192385278,11.82872370944925
46,caso,31660718,3224045996,11.946035955012357
47,lavoro,31076848,3255122844,12.06118479098959
48,proprio,29531590,3284654434,12.17060799288757
49,altro,29450448,3314104882,12.279730539878434
50,tale,29237282,3343342164,12.388063244322531
51,Roma,28772314,3372114478,12.494673105962018
52,primo,28355992,3400470470,12.599740372493674
53,molto,27719168,3428189638,12.702448019339238
54,suoi,27714128,3455903766,12.805136991506686
55,questi,27633598,3483537364,12.907527576406503
56,Italia,27197504,3510734868,13.008302305139807
57,legge,27151146,3537886014,13.108905263887355
58,politica,27000064,3564886078,13.20894841951597
59,dalle,26722178,3591608256,13.307961926016898
60,quindi,24974008,3616582264,13.400497949969074
61,erano,24764462,3641346726,13.492257544536141
62,quel,24643488,3665990214,13.583568894954269
63,senso,24499736,3690489950,13.67434760205318
64,storia,24416624,3714906574,13.764818354817224
65,mondo,24355332,3739261906,13.855062002745708
66,verso,24135870,3763397776,13.944492479600948
67,meno,23821992,3787219768,14.032759946412861
68,Milano,23771394,3810991162,14.120839932795526
69,punto,23759912,3834751074,14.20887737500078
70,dove,23733376,3858484450,14.296816493543623
71,agli,23606220,3882090670,14.384284461814486
72,volta,23378806,3905469476,14.470909794519965
73,invece,23277612,3928747088,14.557160173777529
74,deve,23182140,3951929228,14.643056801275309
75,grande,23072466,3975001694,14.728547054438188
76,mentre,22847200,3997848894,14.813202631005637
77,quelle,22711038,4020559932,14.897353687429849
78,diritto,22681916,4043241848,14.981396838303237
79,contro,22525108,4065766956,15.06485896954838
80,viene,22418646,4088185602,15.147926627860627
81,stessa,22409748,4110595350,15.230961316473293
82,cioè,22241782,4132837132,15.313373641795325
83,altre,21927080,4154764212,15.394619903912371
84,tutte,21587246,4176351458,15.474606981393787
85,particolare,21405543,4197757001,15.553920795970818
86,fine,21227738,4218984739,15.63257579087666
87,Stato,21141520,4240126259,15.710911322806712
88,generale,21018132,4261144391,15.788789666009851
89,qualche,20945368,4282089759,15.866398397252954
90,stata,20905892,4302995651,15.943860858338638
91,società,20675376,4323671027,16.020469190039186
92,tanto,20559838,4344230865,16.096649419565054
93,però,20140220,4364371085,16.171274841336444
94,queste,20128668,4384499753,16.245857459559893
95,quasi,20089032,4404588785,16.320293214778996
96,città,20048174,4424636959,16.394577579125375
97,infatti,19895868,4444532827,16.468297605073843
98,sotto,19763554,4464296381,16.541527368847607
99,cosa,19746280,4484042661,16.614693127385298
100,fare,19725104,4503767765,16.687780422632546
101,forma,19316026,4523083791,16.759351963916462
102,sistema,19174880,4542258671,16.830400517875443
103,fino,19030461,4561289132,16.900913957084597
104,sociale,18955620,4580244752,16.971150088439575
105,possono,18867110,4599111862,17.041058264286573
106,momento,18811444,4617923306,17.11076018127799
107,egli,18751654,4636674960,17.180240558784348
108,base,18712058,4655387018,17.249574221498097
109,nuovo,18692914,4674079932,17.318836950077348
110,esempio,18614114,4692694046,17.387807701546333
111,quelli,18575092,4711269138,17.45663386506105
112,alcuni,18426266,4729695404,17.52490858459846
113,dire,18400592,4748095996,17.59308817443627
114,essa,18010428,4766106424,17.6598220922278
115,rapporto,17865284,4783971708,17.72601820893187
116,soprattutto,17643824,4801615532,17.791393751386725
117,realtà,17636478,4819252010,17.856742074757168
